SCREEN_CD	DICT_NM	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE
LocationMaster	ロケーションマスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
LocationMasterBulkInput	ロケーションマスタ一括取込	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
LocationBarcodeListPrint	ロケーションバーコードリスト発行	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CustomerMasterList	取引先マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CustomerMasterEdit	取引先マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CustomerMasterBulkInput	取引先マスタ一括取込	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierMasterList	運送業者マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierMasterEdit	運送業者マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
DeliveryCourseMasterList	配送コースマスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
