DICT_CULTURE_ID	DICT_NM
8229	ｽｷｯﾌﾟ
8230	Skip
8231	跳过
8232	ケースピッキングを
8233	End Case Picking?
8234	箱分拣
8235	ピッキングNo
8236	Picking No.
8237	分拣No
8238	ケースピック(No)
8239	Case Pick (No)
8240	箱分拣(No)
8241	ケースピック(ｿｰｽCD)
8242	Case Pick (UPC)
8243	箱分拣(代码No)
8244	ケースピック(入庫No)
8245	Case Pick (Receiving No.)
8246	箱分拣(入库No)
8247	ケースピック(数量)
8248	Case Pick (Qty)
8249	箱分拣(数量)
8250	ケースピック(一覧)
8251	Case Pick (List)
8252	箱分拣(一览)
8253	ケースピック(終了)
8254	Case Pick (End)
8255	箱分拣(终了)
8256	選択後、[ENT]で確定
8257	Press [ENT] to confirm
8258	选择后，用[ENT]确定
8259	積込検品(確認)
8260	Loading Inspection (Confirm)
8261	装载检品(确认)
8262	積込検品(一覧)
8263	Loading Inspection (List)
8264	装载检品(一览)
8265	配送コース選択
8266	Select Service Level
8267	配送路线选择
8268	積込検品(終了)
8269	Loading Inspection (End)
8270	装载检品(终了)
8271	積込検品(No)
8272	Loading Inspection (No)
8273	装载检品(No)
8274	の積込検品が
8275	Loading Inspection is complete.
8276	的装载检品
8277	終了しました。
8278	 
8279	已终了。
8280	積込検品を
8281	End Loading Inspection?
8282	装载检品
8283	使用した荷材CDを
8284	Enter the used Box Code
8285	使用的荷材CD
8286	入力してください。
8287	 
8288	请输入。
8289	決定
8290	Confirm
8291	决定
8292	出荷検品キャンセル
8293	Cancel Shipping Inspection?
8294	发货检品取消
8295	しますか？
8296	 
8297	做吗？
8298	合計個口数
8299	Packed Qty
8300	合计个体数
8301	中断
8302	Suspend
8303	中断
8304	総個口数
8305	Packed Qty
8306	总个体数
8307	シリアル登出を
8308	End Input Serial (Shipping)?
8309	序列登出
8310	出荷検品(箱登録)
8311	Shipping Inspection (Box)
8312	发货检品(箱登陆)
8313	出荷検品(終了)
8314	Shipping Inspection (End)
8315	发货检品(终了)
8316	出荷検品(ｿｰｽCD)
8317	Shipping Inspection (UPC)
8318	发货检品(代码CD)
8319	出荷検品(一覧)
8320	Shipping Inspection (List)
8321	发货检品(一览)
8322	出荷検品(数量)
8323	Shipping Inspection (Qty)
8324	发货检品(数量)
8325	出荷検品(確認)
8326	Shipping Inspection (Confirm)
8327	发货检品(确认)
8328	出荷検品(No)
8329	Shipping Inspection (No)
8330	发货检品(No)
8331	ｼﾘｱﾙ登出(終了)
8332	Input Shp Serial (End)
8333	序列登出(终了)
8334	ｼﾘｱﾙ登出(ｿｰｽCD)
8335	Input Shp Serial (UPC)
8336	序列登出(代码CD)
8337	ｼﾘｱﾙ登出(範囲)
8338	Input Shp Serial (Range)
8339	序列登出(范围)
8340	ｼﾘｱﾙ登出(確認)
8341	Input Shp Serial (Confirm)
8342	序列登出(确认)
8343	ｼﾘｱﾙｸﾘｱ確認
8344	Confirm Serial Clear
8345	序列清空确认
8346	ｼﾘｱﾙ登出(ｼﾘｱﾙ)
8347	Input Shp Serial (Serial)
8348	序列登出(序列)
8349	納品先選択
8350	Select Ship-To
8351	收货方选择
8352	ｼﾘｱﾙ登出(No)
8353	Input Shp Serial (No)
8354	序列登出(No)
8355	ｽﾀｰﾄｼﾘｱﾙ
8356	Start Serial
8357	开始序列
8358	ｼﾘｱﾙ
8359	Serial
8360	序列
8361	入力したシリアルを
8362	Clear the
8363	输入的序列
8364	クリアしますか？
8365	entered serial?
8366	要清空吗？
8367	範囲
8368	Range
8369	范围
8370	オーダピッキングを
8371	End Order Picking?
8372	订单分拣
8373	オーダピック(No)
8374	Order Pick (No)
8375	订单分拣(No)
8376	オーダピック(入庫No)
8377	Order Pick (Receiving No.)
8378	订单分拣(入库No)
8379	オーダピック(確認)
8380	Order Pick (Confirm)
8381	订单分拣(确认)
8382	オーダピック(数量)
8383	Order Pick (Qty)
8384	订单分拣(数量)
8385	オーダピック(一覧)
8386	Order Pick (List)
8387	订单分拣(一览)
8388	オーダピック(終了)
8389	Order Pick (End)
8390	订单分拣(终了)
8391	オーダピック(ｿｰｽCD)
8392	Order Pick (UPC)
8393	订单分拣(代码CD)
8394	移動入庫(ｿｰｽCD)
8395	Inventory Transfer (UPC)
8396	移动入库(代码CD)
8397	移動入庫(入庫No)
8398	Inventory Transfer (Receiving No.)
8399	移动入库(入库No)
8400	移動入庫(ロケ)
8401	Inventory Transfer (Location)
8402	移动入库(库位)
8403	移動入庫(選択)
8404	Inventory Transfer (Select)
8405	移动入库(选择)
8406	移動入庫確認
8407	Confirm Inventory Transfer
8408	移动入库确认
8409	プリンタ選択を
8410	Cancel printer selection?
8411	打印选择
8412	キャンセルしますか？
8413	 
8414	要取消吗？
8415	トレイ
8416	Tray
8417	支架
8418	Pｸﾞﾙｰﾌﾟ
8419	Prnt Grp
8420	P组
8421	ﾌﾟﾘﾝﾀ
8422	Printer
8423	打印
8424	帳票L
8425	Report L.
8426	帐票L
8427	同じ帳票レイアウトが
8428	This report layout is already
8429	相同帐票布局
8430	登録されています。
8431	registered. Update?
8432	已登陆。
8433	更新しますか？
8434	 
8435	要更新吗？
8436	プリンタ選択(終了)
8437	Select Printer (End)
8438	打印选择(终了)
8439	選択プリンタ一覧
8440	Printer Select List
8441	选择打印一览
8442	プリンタグループ選択
8443	Select Printer Group
8444	打印机组选择
8445	帳票レイアウト選択
8446	Select Report Layout
8447	帐票布局选择
8448	プリンタ選択(確認)
8449	Select Printer (Confirm)
8450	打印选择(确认)
8451	トレイ選択
8452	Select Tray
8453	支架选择
8454	更新確認
8455	Confirm Update
8456	更新确认
8457	移動出庫(入庫No)
8458	Transfer Out (Receiving No.)
8459	移动出库(入库No)
8460	移動出庫(ロケ)
8461	Transfer Out (Location)
8462	移动出库(库位)
8463	移動出庫(ｿｰｽCD)
8464	Transfer Out (UPC)
8465	移动出库(代码CD)
8466	移動出庫(選択)
8467	Transfer Out (Select)
8468	移动出库(选择)
8469	移動出庫(数量)
8470	Transfer Out (Qty)
8471	移动出库(数量)
8472	移動出庫確認
8473	Confirm Transfer Out
8474	移动出库确认
8475	商品棚卸(終了)
8476	Product Inventory Count (End)
8477	商品盘点(终了)
8478	商品棚卸を
8479	End Product Inventory Count?
8480	商品盘点
8481	預託選択
8482	Select Consignment
8483	寄售选择
8484	商品棚卸(ｿｰｽCD)
8485	Product Inventory Count (UPC)
8486	商品盘点(代码CD)
8487	商品棚卸(在区)
8488	Product Inventory Count (Inv Cls)
8489	商品盘点(在区)
8490	商品棚卸(詳細)
8491	Product Inventory Count (Details)
8492	商品盘点(详细)
8493	商品棚卸(一覧)
8494	Product Inventory Count (List)
8495	商品盘点(一览)
8496	商品棚卸(ロケ)
8497	Product Inventory Count (Location)
8498	商品盘点(库位)
8499	商品棚卸(数量)
8500	Product Inventory Count (Qty)
8501	商品盘点(数量)
8502	商品棚卸完了
8503	Product Inventory Count Complete.
8504	商品盘点完了
8505	か？
8506	 
8507	吗？
8508	商品棚卸(確認)
8509	Product Inventory Count (Confirm)
8510	商品盘点(确认)
8511	入庫格納(終了)
8512	Put-away (End)
8513	入库上架(终了)
8514	入庫格納を
8515	End Put-away?
8516	入库上架
8517	入庫格納(ｿｰｽCD)
8518	Put-away (UPC)
8519	入库上架(代码CD)
8520	入庫格納(仮ロケ)
8521	Put-away (Temporary Location)
8522	入库上架(临时库位)
8523	入庫格納(入庫No)
8524	Put-away (Receiving No.)
8525	入库上架(入库No)
8526	入庫格納(詳細)
8527	Put-away (Details)
8528	入库上架(详细)
8529	入庫格納(一覧)
8530	Put-away (List)
8531	入库上架(一览)
8532	入荷数
8533	Received Qty
8534	收货数
8535	格納数
8536	Put-away Qty
8537	上架数
8538	入庫格納(ロケ)
8539	Put-away (Location)
8540	入库上架(库位)
8541	入庫格納(数量)
8542	Put-away (Qty)
8543	入库上架(数量)
8544	入庫格納(選択)
8545	Put-away (Select)
8546	入库上架(选择)
8547	入庫格納確認
8548	Confirm Put-away
8549	入库上架确认
8550	入庫格納完了
8551	Put-away Complete.
8552	入库上架完了
8553	データを登録
8554	Register data?
8555	数据登陆
8556	シリアル登入を
8557	End Input Serial (Receiving)?
8558	序列登入
8559	予定無し入荷(終了)
8560	Quick Receiving (End)
8561	无预定收货(终了)
8562	予定無し入荷を
8563	End Quick Receiving?
8564	无预定收货
8565	予定無し入荷(ｿｰｽCD)
8566	Quick Receiving (UPC)
8567	无预定收货(代码CD)
8568	予定無し入荷完了
8569	Quick Receiving Complete.
8570	无预定收货完了
8571	期限日が過ぎています
8572	The expiration date has passed.
8573	过了期限日了
8574	登録しますか？
8575	Register?
8576	要登陆吗？
8577	検品を完了しますか？
8578	Complete inspection?
8579	完成检品了吗？
8580	予定無し入荷(区分)
8581	Quick Receiving (Inv Cls)
8582	无预定收货(区分)
8583	ラベル選択
8584	Select Label
8585	标签选择
8586	予定無し入荷(汎用)
8587	Quick Receiving (Generic)
8588	无预定收货(通用)
8589	予定無し入荷(詳細)
8590	Quick Receiving (Details)
8591	无预定收货(详细)
8592	予定無し入荷(一覧)
8593	Quick Receiving (List)
8594	无预定收货(一览)
8595	予定無し入荷(ロケ)
8596	Quick Receiving (Location)
8597	无预定收货(库位)
8598	処理区分選択
8599	Select Process Class
8600	处理区分选择
8601	完了確認(商品)
8602	Confirm Completion (Item)
8603	完了确认(商品)
8604	予定無し入荷(数量)
8605	Quick Receiving (Qty)
8606	无预定收货(数量)
8607	予定無し入荷確認
8608	Confirm Quick Receiving
8609	无预定收货确认
8610	期限日確認
8611	Confirm Expiration Date
8612	期限日确认
8613	予定無し入荷(仕入先)
8614	Quick Receiving (Supplier)
8615	无预定收货(供应商)
8616	仕入先選択
8617	Select Supplier
8618	供应商选择
8619	予定無し入荷(確認)
8620	Quick Receiving (Confirm)
8621	无预定收货(确认)
8622	入荷検品(終了)
8623	Receiving Inspection (End)
8624	收货检品(终了)
8625	入荷検品(詳細)
8626	Receiving Inspection (Details)
8627	收货检品(详细)
8628	入荷検品(ｿｰｽCD)
8629	Receiving Inspection (UPC)
8630	收货检品(代码CD)
8631	入荷検品(一覧)
8632	Receiving Inspection (List)
8633	收货检品(一览)
8634	入荷検品確認
8635	Confirm Receiving Inspection
8636	收货检品确认
8637	検品数確認
8638	Confirm Inspected Qty
8639	检品数确认
8640	完了確認(伝票No)
8641	Confirm Completion (Doc No)
8642	完了确认(单据No)
8643	入荷検品(伝票No)
8644	Receiving Inspection (Doc No)
8645	收货检品(单据No)
8646	入荷検品を
8647	End Receiving Inspection?
8648	收货检品
8649	済数
8650	Inspected
8651	完成数
8652	残数
8653	Remaining
8654	残数
8655	入荷検品完了
8656	Receiving Inspection Complete.
8657	收货检品完了
8658	差異がありますが
8659	There is a discrepancy.
8660	有差异
8661	予定数を超えています
8662	Exceeds Plan Qty.\nSubmit?
8663	超过预定数
8664	が登録しますか？
8665	 
8666	要登陆吗？
8667	ｼﾘｱﾙ登入(伝票No)
8668	Input Rcv Serial (Doc No)
8669	序列登入(单据No)
8670	ｼﾘｱﾙ登入(終了)
8671	Input Rcv Serial (End)
8672	序列登入(终了)
8673	ｼﾘｱﾙ登入(ｿｰｽCD)
8674	Input Rcv Serial (UPC)
8675	序列登入(代码CD)
8676	ｼﾘｱﾙ登入(範囲)
