SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
193	StockMoveOutInLocHT	2801	wms_ht
194	StockMoveOutInSendHT	2803	wms_ht
195	StockMoveOutJanCdHT	2822	wms_ht
196	StockMoveOutLabelNoHT	2820	wms_ht
197	StockMoveOutListHT	2823	wms_ht
198	StockMoveOutLocHT	2821	wms_ht
199	StockMoveOutQtyHT	2824	wms_ht
200	StockMoveOutSendHT	2825	wms_ht
201	StockSearchConditionHT	2679	wms_ht
202	StockSearchListHT	2680	wms_ht
