CLASS_DTL_ID	CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
773	265	H	1830	8	0
774	265	I	1831	9	0
775	265	J	1832	10	0
776	266	2700	3747	1	0
777	267	1	3408	1	0
778	268	11	3750	2	0
779	268	39	3751	3	0
780	268	49	3751	4	0
781	269	1	3409	1	0
782	270	1	3420	1	0
783	271	ZBB7	2337	1	0
784	272	1	3410	1	0
785	272	2	3411	2	0
786	273	01	3752	1	0
787	273	02	1916	2	0
788	273	03	1917	3	0
789	274	BLDL350N	3412	1	0
790	274	BLDL350K	3412	2	0
791	274	BLDL6760	3051	3	0
792	274	BLDL3350	3412	4	0
793	274	BLDL3390	3049	5	0
794	274	BLDL3310	3049	6	0
795	275	2002	3413	1	0
796	275	2000	3414	2	0
797	276	01	3753	1	0
798	276	02	3754	2	0
799	276	03	3414	3	0
800	276	04	3413	4	0
801	276	05	3755	5	0
802	277	0	3415	1	0
803	277	1	3416	2	0
804	278	1	3756	1	0
805	278	3	3757	2	0
806	278	4	3758	3	0
807	279	0	3417	1	0
808	279	1	3418	2	0
809	279	2	3419	3	0
810	280	0	3420	1	0
811	280	1	3421	2	0
812	280	2	1809	3	0
813	281	0	3422	1	0
814	281	1	3423	2	0
815	282	0	3422	1	0
816	282	1	3423	2	0
817	283	10	3424	1	0
818	283	20	3425	2	0
819	283	30	3426	3	0
820	283	40	3427	4	0
821	283	45	3428	5	0
822	283	50	3429	6	0
823	283	60	3430	7	0
824	283	70	3431	8	0
825	284	0	3472	1	0
826	284	1	3473	2	0
827	285	Y	3474	1	0
828	286	0	3422	1	0
829	286	1	3423	2	0
830	287	00	3475	1	0
831	287	01	3476	2	0
832	288	01	3477	1	0
833	289	0	1977	1	0
834	289	1	1833	2	0
835	290	01	3478	1	0
836	291	01	3479	1	0
837	291	02	3480	2	0
838	291	03	3481	3	0
839	291	04	3482	4	0
840	292	0	2711	1	0
841	292	1	3483	2	0
842	292	2	3484	3	0
843	293	1	3759	1	0
844	294	0	3422	1	0
845	294	1	3423	2	0
846	295	0	2711	1	0
847	295	1	3760	2	0
848	295	3	3761	3	0
849	296	0	2711	1	0
850	296	1	3760	2	0
851	296	3	3761	3	0
852	297	0	3422	1	0
853	297	1	3423	2	0
854	298	1	3485	1	0
855	299	0	3422	1	0
856	299	1	3423	2	0
857	300	0	2711	1	0
858	300	1	3760	2	0
859	300	3	3761	3	0
860	301	0	2711	1	0
861	301	1	3760	2	0
862	301	3	3761	3	0
863	302	1	2607	1	0
864	302	2	1178	2	0
865	303	0	3422	1	0
866	303	1	3423	2	0
867	304	01	3762	1	0
868	304	02	3763	2	0
869	305	JP	3486	1	0
870	305	YMT	3469	2	0
871	305	SGW	3470	3	0
872	306	0	3487	1	0
873	306	1	3488	2	0
874	307	A1	3764	1	0
875	307	B1	3765	2	0
876	307	B2	3766	3	0
877	307	C1	3767	4	0
878	307	D1	3768	5	0
879	307	D2	3769	6	0
880	307	D3	3770	7	0
881	307	D4	3771	8	0
882	307	D5	3772	9	0
883	307	D6	3773	10	0
884	307	D7	3774	11	0
885	307	E1	3775	12	0
886	308	A1	3776	1	0
887	308	B1	3777	2	0
888	308	C1	3778	3	0
889	308	C2	3779	4	0
890	308	C3	3780	5	0
891	308	D1	3781	6	0
892	308	D2	3782	7	0
893	308	E1	3783	8	0
894	308	E2	3784	9	0
895	309	1	3489	1	0
896	309	2	3490	2	0
897	309	3	3491	3	0
898	309	4	3492	4	0
899	309	5	3493	5	0
900	309	6	3494	6	0
901	310	1	3764	1	0
902	310	2	3785	2	0
903	310	3	3786	3	0
904	310	4	3787	4	0
905	310	5	3775	5	0
906	311	1	3776	1	0
907	311	2	3777	2	0
908	311	3	3778	3	0
909	311	4	3788	4	0
910	311	5	3789	5	0
911	312	0	3422	1	0
912	312	1	3423	2	0
913	313	1	3495	1	0
914	313	2	3496	2	0
915	314	BLDL5050	3497	1	0
916	315	1	3394	1	0
917	315	2	3395	2	0
918	315	3	3187	3	0
919	315	4	3498	4	0
920	315	5	3499	5	0
921	315	6	3500	6	0
922	315	7	3501	7	0
923	315	8	3502	8	0
924	315	9	3503	9	0
925	315	10	3504	10	0
926	315	11	3505	11	0
927	315	12	3506	12	0
928	316	0	1890	1	0
929	316	1	1891	2	0
930	316	2	1876	3	0
931	317	1	3507	1	0
932	317	2	3508	2	0
933	317	3	3509	3	0
934	317	4	3510	4	0
935	317	6	3511	5	0
936	317	7	3512	6	0
937	317	8	3513	7	0
938	317	A	3514	8	0
939	317	B	3515	9	0
940	317	D	3516	10	0
941	317	E	3517	11	0
942	317	F	3518	12	0
943	317	G	3519	13	0
944	317	H	3520	14	0
945	317	I	3521	15	0
946	317	J	3522	16	0
947	317	K	3523	17	0
948	317	Q	3524	18	0
949	318	1	2578	1	0
950	318	2	3806	2	0
951	318	3	2600	3	0
952	319	01	3525	1	0
953	319	02	3526	2	0
954	319	03	3527	3	0
955	319	04	3528	4	0
956	319	05	3529	5	0
957	319	06	3530	6	0
958	319	07	3531	7	0
959	319	08	3532	8	0
960	319	09	3533	9	0
961	319	10	3534	10	0
962	319	11	3535	11	0
963	319	12	3536	12	0
964	319	13	3537	13	0
965	319	14	3538	14	0
966	319	15	3539	15	0
967	319	16	3540	16	0
968	319	17	3541	17	0
969	319	18	3542	18	0
970	319	19	3543	19	0
971	319	20	3544	20	0
972	319	21	3545	21	0
973	319	22	3546	22	0
974	319	23	3547	23	0
975	319	24	3548	24	0
976	319	25	3549	25	0
977	319	26	3550	26	0
978	319	27	3551	27	0
979	319	28	3552	28	0
980	319	29	3553	29	0
981	319	30	3554	30	0
982	319	31	3555	31	0
983	319	32	3556	32	0
984	319	33	3557	33	0
985	319	34	3558	34	0
986	319	35	3559	35	0
987	319	36	3560	36	0
988	319	37	3561	37	0
989	319	38	3562	38	0
990	319	39	3563	39	0
991	319	40	3564	40	0
992	319	41	3565	41	0
993	319	42	3566	42	0
994	319	43	3567	43	0
995	319	44	3568	44	0
996	319	45	3569	45	0
997	319	46	3570	46	0
998	319	47	3571	47	0
999	319	99	2025	48	0
1000	320	01	3572	1	0
1001	321	0	3422	1	0
1002	321	1	3423	2	0
1003	322	0	2711	1	0
1004	322	1	3760	2	0
1005	322	3	3761	3	0
