MENU_ID	MENU_GRP_ID	SCREEN_ID	DICT_ID	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
158	10	346	1230	resources/menu/manual_pc.pdf?downloadFile=manual/zhCN/manual_pc_zhCN.pdf	0	28	1
159	10	343	1238	resources/menu/manual_help.pdf?downloadFile=manual/zhCN/manual_help_zhCN.pdf	0	29	1
160	11	381		#/wms/receive/ReceiveInspectionSD	0	1	0
161	12	363		#/wms/shipping/PickingSD	0	1	0
162	12	355		#/wms/shipping/OrderPickingSD	0	2	0
163	12	275		#/wms/shipping/CasePickingSD	0	3	0
164	13	331		#/wms/inventory/InventoryInputSD	0	1	0
165	14	71		ReceiveInspectionLabel/load	0	1	0
166	14	109		ReceiveStoreKariLoc/load	0	2	0
167	14	89		ReceiveNoPlanInspectionLabel/load	0	3	0
168	14	52		ReceiveInspecStoreLabel/load	0	4	0
169	14	123		SerialReceiveInspectionWorkNo/load	0	5	0
170	15	163		ShippingPickingStart/start	0	1	0
171	15	156		ShippingNoPackingWorkNo/load	0	2	0
172	15	177		SingleRowShippingNoPackingNo/load	0	3	0
173	15	141		ShippingCasePickingNo/load	0	4	0
174	15	150		ShippingLoadingInspectionNo/load	0	5	0
175	15	132		SerialShippingInspectionWorkNo/load	0	6	0
176	16	201		StockSearchCondition/load	0	1	0
177	16	192		StockMoveOutLoc/load	0	2	0
178	16	184		StockMoveInJanCd/load	0	3	0
179	16	28	2690	LocationMoveOutLoc/load	0	4	0
180	17	15		InventoryInputProductKbn/load	0	1	0
181	18	2		AttendanceEntryRegister/load	0	1	1
182	19	37	156	PrinterSelectReportLayout/load	0	1	0
183	19	37	157	PrinterSelectReportLayout/loadTerminal	0	2	0
