COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1079	2403	mlocation.mzone.zoneNm	213	29	text	1	0		0	170		
1080	2403	mproduct.productAbbr	475	30	text	1	0		0	300		
1081	2403	mcustomerBySupplierId.customerAbbr	714	31	text	1	0		0	250		
1082	2403	tinventoryH.mclient.clientCd	299	32	text	1	0		0	200		
1083	2403	tinventoryH.mclient.clientNm	305	33	text	1	0		0	200		
1084	2403	tinventoryH.mcenter.centerCd	202	34	text	1	0		0	200		
1085	2403	tinventoryH.mcenter.centerNm	208	35	text	1	0		0	200		
1086	2420	mlocation.locationNm	265	1	text	1	0		0	250		
1087	2420	mproduct.productCd	470	2	text	1	0		0	245		
1088	2420	mproduct.janCd	180	3	text	1	0		0	205		
1089	2420	mproduct.productNm	474	4	text	1	0		0	300		
1090	2420	productUnit	2946	5	text	1	0		0	90		
1091	2420	unitNumBreakdown	2727	6	text	1	0	right	0	220		
1092	2420	inventoryNum	951	7	calcnumber	1	1	right	0	290		
1093	2420	inventoryNumMultiText	2915	8	number	0	1	right	0	110		
1094	2420	chargeNum	940	9	number	1	0	right	0	140		
1095	2420	allocNum	941	10	number	1	0	right	0	125		
1096	2420	moveNum	942	11	number	1	0	right	0	125		
1097	2420	inventoryBeforeBreakdown	2732	12	text	1	0	right	1	200		
1098	2420	lot	266	13	text	1	0		0	170		
1099	2420	limitDt	315	14	date	1	0		0	150		
1100	2420	storeLabelNo	579	15	text	1	0		0	140		
1101	2420	storeDt	589	16	date	1	0		0	150		
1102	2420	mstockType.stockTypeCd	384	17	text	1	0		0	110		
1103	2420	mstockType.vdict.dictNm	865	18	text	1	0		0	110		
1104	2420	mcustomerByDepositId.customerCd	634	19	text	1	0		0	160		
1105	2420	mcustomerByDepositId.customerNm	637	20	text	1	0		0	300		
1106	2420	mcustomerBySupplierId.customerCd	393	21	text	1	0		0	200		
1107	2420	mcustomerBySupplierId.customerNm	396	22	text	1	0		0	300		
1108	2420	histAddUser	957	23	text	1	0		0	160		
1109	2420	inputDt	594	24	datetime	1	0		0	180		
1110	2420	bclassDtlByStockAdjustFlg.vdict.dictNm	959	25	text	1	0		0	160		
1111	2420	mwarehouse.warehouseCd	499	26	text	1	0		0	85		
1112	2420	mwarehouse.warehouseNm	501	27	text	1	0		0	300		
1113	2420	mlocation.mzone.zoneCd	211	28	text	1	0		0	90		
1114	2420	mlocation.mzone.zoneNm	213	29	text	1	0		0	170		
1115	2420	tinventoryH.mclient.clientCd	299	30	text	1	0		0	200		
1116	2420	tinventoryH.mclient.clientNm	305	31	text	1	0		0	200		
1117	2420	tinventoryH.mcenter.centerCd	202	32	text	1	0		0	200		
1118	2420	tinventoryH.mcenter.centerNm	208	33	text	1	0		0	200		
1119	2454	mlocation.locationNm	265	1	text	1	0		0			
1120	2454	mproduct.productCd	470	2	text	1	0		0			
1121	2454	mproduct.productAbbr	474	3	text	1	0		0			
1122	2455	mlocation.locationNm	265	1	text	1	0		0			
1123	2455	mproduct.productCd	470	2	text	1	0		0			
1124	2455	mproduct.janCd	180	3	text	1	0		0			
1125	2455	mproduct.productAbbr	474	4	text	1	0		0			
1126	2455	productUnit	2946	5	text	1	0		0			
1127	2455	unitNumBreakdown	2727	6	text	1	0	right	0			
1128	2455	inventoryNum	951	7	calcnumber	1	1	right	0			
1129	2455	inventoryNumMultiText	2915	8	number	0	1	right	0			
1130	2455	chargeNum	940	9	number	1	0	right	0			
1131	2455	chargeNumBreakdown	2732	10	text	1	0	right	0			
1132	2455	lot	266	11	text	1	0		0			
1133	2455	limitDt	315	12	date	1	0		0			
1134	2455	storeLabelNo	579	13	text	1	0		0			
1135	2455	storeDt	589	14	date	1	0		0			
1136	2455	mstockType.stockTypeCd	384	15	text	1	0		0			
1137	2455	mstockType.vdict.dictNm	865	16	text	1	0		0			
1138	2455	mcustomerByDepositId.customerCd	634	17	text	1	0		0			
1139	2455	mcustomerByDepositId.customerAbbr	637	18	text	1	0		0			
1140	2455	mwarehouse.warehouseCd	499	19	text	1	0		0			
1141	2455	mwarehouse.warehouseAbbr	501	20	text	1	0		0			
1142	2455	mlocation.mzone.zoneCd	211	21	text	1	0		0			
1143	2455	mlocation.mzone.zoneNm	213	22	text	1	0		0			
1144	2501	locationCd	262	1	text	1	0		0	200		
1145	2501	locationNm	265	2	text	1	0		0	250		
1146	2501	mzone.mwarehouse.warehouseCd	499	3	text	1	0		0	120		
1147	2501	mzone.mwarehouse.warehouseNm	501	4	text	1	0		0	300		
1148	2501	mzone.zoneCd	211	5	text	1	0		0	120		
1149	2501	mzone.zoneNm	213	6	text	1	0		0	300		
1150	2501	locationType	758	7	text	1	0		0	220		
1151	2501	bclassDtlByLocationType.vdict.dictNm	756	8	text	1	0		0	220		
1152	2501	pickingLocationFlg	225	9	text	1	0		0	140		
1153	2501	bclassDtlByPickingLocationFlg.vdict.dictNm	1399	10	text	1	0		0	240		
1154	2501	allocNgFlg	281	11	text	1	0		0	130		
1155	2501	bclassDtlByAllocNgFlg.vdict.dictNm	757	12	text	1	0		0	150		
1156	2501	pickingOrder	224	13	number	1	0	right	0	125		
1157	2501	allocOrder	285	14	number	1	0	right	0	75		
1158	2501	mproduct.mclient.clientCd	1402	15	text	1	0		0	110		
1159	2501	mproduct.mclient.clientNm	1403	16	text	1	0		0	110		
1160	2501	mproduct.productCd	1398	17	text	1	0		0	170		
1161	2501	mproduct.productNm	1560	18	text	1	0		0	170		
1162	2501	mstockType.stockTypeCd	1404	19	text	1	0		0	170		
1163	2501	mstockType.vdict.dictNm	1405	20	text	1	0		0	170		
1164	2501	mcustomer.customerCd	1406	21	text	1	0		0	110		
1165	2501	mcustomer.customerNm	1407	22	text	1	0		0	110		
