MESSAGE_ID	MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	MESSAGE_NM	MESSAGE_ABBR	CULTURE_ID
1663	shipInspectStartError	error	wms	出庫指示済またはピッキング済以外の出庫指示に対して、出荷検品を開始することはできません。	開始	1
1664	shipInspectStartInspectCompleteError	error	wms	検品済の出庫指示に対して、出荷検品を開始することはできません。	検品済	1
1665	shipInspectStartUnderInspectError	error	wms	検品中の出庫指示に対して、出荷検品を開始することはできません。	検品中	1
1666	shipInstCannnotInputSameTransitCenterError	error	wms	出荷元と納品先に同一のセンタが指定されています。	出荷元と同一センタ	1
1667	shipInstDeleteStartError	error	wms	未出荷以外の出荷指示をキャンセルすることはできません。	削除	1
1668	shipInstructeCompleteReplenishInformation	info	wms	出庫指示処理は正常終了しました。緊急補充が発生していますので[0]にて確認して下さい。	完了情報	1
1669	shipInstructeCompleteStockOutAndReplenishInformation	info	wms	出庫指示処理は正常終了しました。欠品が発生していますので商品別出荷一覧にて確認して下さい。[/]緊急補充が発生していますので[0]にて確認して下さい。	完了情報	1
1670	shipInstructeCompleteStockOutInformation	info	wms	出庫指示処理は正常終了しました。欠品が発生していますので商品別出荷一覧にて確認して下さい。	完了情報	1
1671	shipInstructedCancelForcedMoveInformation	info	wms	ピッキングした在庫が別ロケーションに移動されています。在庫を確認して下さい。	取消情報	1
1672	shipInstructedCannotRegisterStockShortageError	error	wms	在庫数が不足している為、登録できません。	在庫数が不足	1
1673	shipInstructedDateChangeSameWorkOrderNumberConfirmation	confirm	wms	荷揃番号単位で指示日を設定しますが宜しいですか？	変更確認	1
1674	shipInstructedFoundError	error	wms	出庫指示済のデータが含まれています。	存在	1
1675	shipOrderQtyCannotInputMoreThanstockCanBeAllocateError	error	wms	出荷指示数が引当可能数を超えています。	引当可能数超え入力不可	1
1676	shipOrderQtyCannotInputNotEqualPackingQtyTotalError	error	wms	出荷指示数分の梱包がされていません。	出荷指示数と不一致	1
1677	shipOrderQtyRegisterMoreThanStockConfirmation	confirm	wms	出荷指示数が引当可能数を超えています。宜しいですか？	登録確認	1
1678	shipOrderRegisterContainedMasterErrorInformation	info	wms	マスタエラーが有りましたが、出荷指示は登録されました。一覧でエラー内容を確認して下さい。[/]伝票番号：[0]で登録しました。	登録情報	1
1679	shipOrderUpdateStartEdiError	error	wms	EDI入力した出荷指示データの修正はできません。	修正	1
1680	shipOrderUpdateStartNonshipmentError	error	wms	未出荷以外の出荷指示データは修正できません。	修正	1
1681	shipPickFirstStartError	error	wms	ピッキング中、またはピッキング済のため、出庫検品できません。	起動	1
1682	shipPickSecondStartError	error	wms	出庫指示済以外は、出庫検品できません。	起動	1
1683	shipResultCannotDeleteError	error	wms	削除することはできません。	削除不可	1
1684	shipResultOverWriteConfirmation	confirm	wms	出荷実績入力画面へデータを上書きしますが、宜しいですか？	上書確認	1
