DICT_ID	DICT_NM
2865	予定無し入荷(一覧)
2866	予定無し入荷(ロケ)
2867	処理区分選択
2868	完了確認(商品)
2869	予定無し入荷(数量)
2870	予定無し入荷確認
2871	期限日確認
2872	予定無し入荷(仕入先)
2873	仕入先選択
2874	予定無し入荷(確認)
2875	入荷検品(終了)
2876	入荷検品(詳細)
2877	入荷検品(ｿｰｽCD)
2878	入荷検品(一覧)
2879	入荷検品確認
2880	検品数確認
2881	完了確認(伝票No)
2882	入荷検品(伝票No)
2883	入荷検品を
2884	済数
2885	残数
2886	入荷検品完了
2887	差異がありますが
2888	予定数を超えています
2889	が登録しますか？
2890	ｼﾘｱﾙ登入(伝票No)
2891	ｼﾘｱﾙ登入(終了)
2892	ｼﾘｱﾙ登入(ｿｰｽCD)
2893	ｼﾘｱﾙ登入(範囲)
2894	ｼﾘｱﾙ登入(確認)
2895	ｼﾘｱﾙ登入(ｼﾘｱﾙ)
2896	登録数
2897	入荷検品格納を
2898	入荷検品格納を[ReceiveInspecStoreCancelHT]
2899	入庫ラベル使用
2900	汎用ラベル使用
2901	入荷検品格納完了
2902	完了しますか？
2903	検品格納(終了)
2904	検品格納(詳細)
2905	検品格納(ｿｰｽCD)
2906	検品格納(汎用)
2907	検品格納(一覧)
2908	検品格納(ロケ)
2909	検品格納(数量)
2910	検品格納確認
2911	検品格納(伝票No)
2912	入荷検品(汎用)
2913	データを登録します
2914	計算数値
2915	棚卸数量荷姿
2916	センタ(権限)
2917	荷主(権限)
2922	出荷内訳
2923	引当内訳
2935	小数有無フラグ
2946	商品単位
2947	予定数荷姿
2948	指示数荷姿
2949	指示出庫内訳
2950	指示入庫内訳
2951	棚卸内訳
2952	総数
2953	検品数荷姿
2954	指示内訳
2955	在庫管理単位
2956	在庫内訳
2957	引当可能内訳
2958	引当済内訳
2959	作業中内訳
2960	積送中内訳
2961	現時点内訳
2967	在庫数荷姿
2968	総在庫数荷姿
2969	移動先総在庫数荷姿
2970	移動総数荷姿
2971	前残内訳
2972	受入内訳
2973	払出内訳
2974	当日在庫内訳
2975	在庫管理単位CD
2976	在庫管理単位名称
2977	差異数(以上)
2978	棚卸数荷姿
2979	入数単位
2981	梱包No.
2982	(From)
2983	(To)
2992	Bill of lading No
2993	Bill of Lading発行フラグ
2994	Bill of Lading発行フラグ名称
2995	Bill of Lading発行対象フラグ
2996	Bill of Lading発行対象フラグ名称
2997	Bill of Lading発行対象
2998	Payment Term
2999	Payment Term名称
3000	PrePaid
3001	PrePaid & Bill
3002	Collect
3003	COD Bill FRT
3004	COD NOT Bill FRT
3005	3rd Party
3006	貨物追跡番号登録
3007	貨物追跡No
3008	荷主センタ住所１
3009	荷主センタ住所２
3010	荷主センタ住所３
3011	荷主電話番号
3012	オーダーNo
3013	請求先名称
3014	請求先住所１
3015	請求先住所２
3016	請求先住所３
3017	請求先電話番号
3018	出荷先名称
3019	出荷先住所１
3020	出荷先住所２
3021	出荷先住所３
3022	出荷先電話番号
3023	商品コード
3024	合計数量
3025	CES連携フラグ
3026	CES連携フラグ名称
3027	納品明細書自動発行フラグ
3028	納品明細書自動発行フラグ名称
3033	PackingSlip
3163	Packing Slip
3234	単行出荷検品
3244	単行出荷検品(No)
3245	単行出荷検品(商品)
3246	作業指示数選択
3247	単行出荷検品(箱登録)
3248	単行出荷検品(ｿｰｽCD)
3249	作業指示数
3250	伝票残数
3358	勤怠入力
3359	勤怠入力(確認)
3360	します。
3362	出勤
3363	退勤
3364	休憩開始
3365	休憩終了
3374	作業者CD
3375	日付…
3376	時刻…
3377	勤怠入力(結果)
3378	しました。
3650	製造日
3663	入荷検品(ｽｷｬﾝ)
3664	ｽｷｬﾝ
3665	入荷時入数
3666	入力補助ケース数
3667	入力補助ピース数
3668	ケース枚数
3669	ピース枚数
3670	検品データを
3671	製造日が過ぎています
3672	ラベル印刷
3673	商品選択
3674	製造日確認
3675	入荷検品(中断)
3676	限界期限日
3677	限界製造日
3678	マスタ入数
3844	検品格納(ｽｷｬﾝ)
3845	検品格納(中断)
