メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
fileUploadSetExcelRowError	error	base	ja-JP	データの取り込み中にエラーが発生しました。[/]シート名：[0] , 行番号：[1]	取込失敗		en-US	An error occurred while processing the data. [/] Sheet Name: [0], line number: [1]	Acquisition failure		zh-CN	数据读入过程中发生错误。[/]工作表名：[0] , 行号码：[1]	读入失败	
fileUploadSetExcelSheetError	error	base	ja-JP	データの取り込み中にエラーが発生しました。[/]シート名：[0]	取込失敗		en-US	An error occurred while processing the data. [/] Sheet Name: [0]	Acquisition failure		zh-CN	数据读入过程中发生错误。[/]工作表名：[0]	读入失败	
gridColExtDialogDescription_A01_00_Head	info	base	ja-JP	当画面について			en-US	About this screen			zh-CN	关于此画面		
gridColExtDialogDescription_A01_01_Title	info	base	ja-JP	当画面でできること			en-US	Usage			zh-CN	此画面可以操作的		
gridColExtDialogDescription_A01_01_Value	info	base	ja-JP	「列の順序」と「列の幅」を変更できます。			en-US	Column width and column order can be edited.			zh-CN	可以变更「列的顺序」和「列的幅」。		
gridColExtDialogDescription_A01_02_Title	info	base	ja-JP	[blank]			en-US	[blank]			zh-CN	[blank]		
gridColExtDialogDescription_A01_02_Value	info	base	ja-JP	【登録】ボタンで保存した変更は次のログイン以降も引き継がれます。			en-US	Saved changes will be carried over to the next log in.			zh-CN	【登录】按钮保存的变更在下次登录后也能继承。		
gridColExtDialogDescription_A02_00_Head	info	base	ja-JP	画面項目について			en-US	Functions			zh-CN	关于画面项目		
gridColExtDialogDescription_A02_01_Title	info	base	ja-JP	列一覧			en-US	Column Order			zh-CN	列一览		
gridColExtDialogDescription_A02_01_Value	info	base	ja-JP	列の順序を変更できます。			en-US	Change column order.			zh-CN	可以变更列的顺序。		
gridColExtDialogDescription_A02_02_Title	info	base	ja-JP	[blank]			en-US	[blank]			zh-CN	[blank]		
gridColExtDialogDescription_A02_02_Value	info	base	ja-JP	列を選択し、右の移動ボタンで順序を変更します。			en-US	Select a column and use the button on the right to change its order.			zh-CN	选择列、通过右边的移动按钮变更顺序。		
gridColExtDialogDescription_A02_03_Title	info	base	ja-JP	[blank]			en-US	[blank]			zh-CN	[blank]		
gridColExtDialogDescription_A02_03_Value	info	base	ja-JP	ボタンは上から「選択列を一番上に移動」「選択列をひとつ上に移動」「選択列をひとつ下に移動」「選択列を一番下に移動」の移動ボタンです。			en-US	From top to bottom, the buttons perform these functions: "Move selected row to the top," "Move selected row up by one," "Move selected row down by one," "Move selected row to the bottom."			zh-CN	按钮从上开始分别是「移动选择列到最上方」「选择列向上移动一个位置」「选择列向下移动一个位置」「选择列移动到最下方」。		
gridColExtDialogDescription_A02_04_Title	info	base	ja-JP	列幅一覧			en-US	Column Width			zh-CN	列宽一览		
gridColExtDialogDescription_A02_04_Value	info	base	ja-JP	列の幅を変更できます。			en-US	Change column width.			zh-CN	可以变更列的宽度。		
gridColExtDialogDescription_A02_05_Title	info	base	ja-JP	[blank]			en-US	[blank]			zh-CN	[blank]		
gridColExtDialogDescription_A02_05_Value	info	base	ja-JP	列名の下の入力欄に幅の大きさを入力して幅を変更します。			en-US	Edit the value in the input field under the column name to change its width.			zh-CN	列名下方的输入栏中输入宽的大小，可以变更宽度。		
gridColExtDialogDescription_A02_06_Title	info	base	ja-JP	[blank]			en-US	[blank]			zh-CN	[blank]		
gridColExtDialogDescription_A02_06_Value	info	base	ja-JP	マウスで境目を直接左右に動かす事でも調整できます。			en-US	The width may also be adjusted by clicking and dragging the borders in between the column names.			zh-CN	通过鼠标在边界上直接左右移动也能调整。		
gridColExtDialogDescription_A02_07_Title	info	base	ja-JP	【閉じる】ボタン			en-US	[Close] button			zh-CN	【关闭】按钮		
gridColExtDialogDescription_A02_07_Value	info	base	ja-JP	変更を破棄して当画面を閉じます。変更は保存されません。			en-US	Discard changes and close the screen. Changes will not be saved.			zh-CN	放弃变更，关闭当前画面。不保存变更。		
gridColExtDialogDescription_A02_08_Title	info	base	ja-JP	【リセット】ボタン			en-US	[Reset] button			zh-CN	【重置】按钮		
gridColExtDialogDescription_A02_08_Value	info	base	ja-JP	保存した状態を破棄して初期状態に戻ります。初期状態を保存したい場合は【登録】ボタンを押してください。			en-US	Discard changes and restore defaults. In order to keep the default settings click the [Register] button.			zh-CN	保存的状态下放弃变更，回到初始状态。要保存初始状态时请按下【登录】按钮。		
gridColExtDialogDescription_A02_09_Title	info	base	ja-JP	【登録】ボタン			en-US	[Submit] button			zh-CN	【登录】按钮		
gridColExtDialogDescription_A02_09_Value	info	base	ja-JP	変更した内容を保存して当画面を閉じます。			en-US	Save changes and close the page.			zh-CN	保存变更的内容，关闭当前页。		
gridColExtDialogDescription_A03_00_Head	info	base	ja-JP	ヒント			en-US	Tips			zh-CN	提示		
gridColExtDialogDescription_A03_01_Title	info	base	ja-JP	幅の制限			en-US	Width limit			zh-CN	宽的限制		
gridColExtDialogDescription_A03_01_Value	info	base	ja-JP	幅に入力できる大きさは、最小が40、最大が2000です。単位はピクセルです。			en-US	The range of widths that may be entered is between 40 and 2000, in pixels.			zh-CN	宽度可以输入的大小为，最小40，最大2000。单位为像素。。		
gridColExtDialogDescription_A03_02_Title	info	base	ja-JP	幅を戻す			en-US	Revert width			zh-CN	返回宽度		
gridColExtDialogDescription_A03_02_Value	info	base	ja-JP	列の境目をダブルクリックすると初期状態の幅に戻ります。			en-US	Double clicking the column border returns its width to default.			zh-CN	列的边界上双击后，回到初始状态的宽度。		
gridColExtDialogDescription_A03_03_Title	info	base	ja-JP	複数列の順序を移動			en-US	Move multiple rows			zh-CN	移动复数列的顺序		
gridColExtDialogDescription_A03_03_Value	info	base	ja-JP	列一覧 または、列幅一覧でCtrlキーを押しながら列をクリックすることで複数の列を選択できます。			en-US	Additional columns may be selected by holding down the CTRL key and clicking another row.			zh-CN	在列一览或者列宽时，一边按着Ctrl键一边点击列后，即可选择复数条列。		
gridColExtDialogDescription_A03_04_Title	info	base	ja-JP	[blank]			en-US	[blank]			zh-CN	[blank]		
gridColExtDialogDescription_A03_04_Value	info	base	ja-JP	選択した列は移動ボタンで順序を変更できます。			en-US	The order of the selected columns can be changed with the Move button.			zh-CN	选择的列可以通过移动按钮来变更顺序。		
httpConnectionError	error	base	ja-JP	サーバに接続出来ませんでした。  HttpStatus:[0]  接続先:[1]	サーバ接続不可		en-US	Unable to connect to the server. HttpStatus: [0] Destination: [1]	Server connection error		zh-CN	服务器无法连接。  HttpStatus:[0]  接入点:[1]	服务器无法连接	
httpConnectionErrorTitle	error	base	ja-JP	以下のエラーが発生しました。[/]ネットワークに接続出来るか確認して下さい。[/]それでも解決しない場合、以下の内容を管理者にお伝え下さい。	サーバ接続不可		en-US	The following error occurred. [/]Check your network connectivity. [/]If the problem persists, please notify your administrator with the following content.	Server connection error		zh-CN	发生以下错误。[/]请确认是否已网络连接是否正常。[/]如果仍然无法解决，请把以下内容通知管理员。	服务器无法连接	
infoMasterError	error	base	ja-JP	お知らせマスタ取得エラー	取得失敗		en-US	Announcement Master acquisition error	Acquisition failure		zh-CN	通知主表取得错误	取得失败	
infoTitle	info	base	ja-JP	お知らせ			en-US	Information			zh-CN	通知		
insertProcessNormalEndInformation	info	base	ja-JP	正常に登録されました。	正常終了		en-US	Registered successfully.	Success		zh-CN	正常登录完成。	正常终了	
integerLengthError	error	base	ja-JP	整数[0]桁以内	整数[0]桁以内	[0]は整数[1]桁以下で入力してください。	en-US	Integer up to [0] digit(s)	Integer up to [0] digit(s)	[0] must be within [/][1] digits.	zh-CN	整数[0]位以内	整数[0]位以内	[0]请输入[1]位以下的整数。
isMismatchBColAndExtWarn	warn	base	ja-JP	最後に列の順序、幅を変更した後に、列の追加が行われています。設定画面から設定し直してください。			en-US	A new column has been added since the last time column order or width was edited. Please re-configure column settings from the configuration screen.			zh-CN	最后在列的顺序，宽度变更后，进行列的追加。请从设定画面重新设定。		
itemCdDuplicateError	error	base	ja-JP	項目CDが重複しています。	重複		en-US	Duplicate Item Code.	Duplicate data		zh-CN	项目CD重复。	重复	
itemEditableCannotSelectExceptionError	error	base	ja-JP	編集不可の項目は編集可を設定できません。	編集不可項目		en-US	Non-editable items can not be set editable.	Not editable		zh-CN	无法编辑的项目不能设定为可以编辑。	编辑不可项目	
