DICT_CULTURE_ID	DICT_NM
8278	End Input Serial (Shipping)?
8279	序列登出
8280	出荷検品(箱登録)
8281	Shipping Inspection (Box)
8282	发货检品(箱登陆)
8283	出荷検品(終了)
8284	Shipping Inspection (End)
8285	发货检品(终了)
8286	出荷検品(ｿｰｽCD)
8287	Shipping Inspection (UPC)
8288	发货检品(代码CD)
8289	出荷検品(一覧)
8290	Shipping Inspection (List)
8291	发货检品(一览)
8292	出荷検品(数量)
8293	Shipping Inspection (Qty)
8294	发货检品(数量)
8295	出荷検品(確認)
8296	Shipping Inspection (Confirm)
8297	发货检品(确认)
8298	出荷検品(No)
8299	Shipping Inspection (No)
8300	发货检品(No)
8301	ｼﾘｱﾙ登出(終了)
8302	Input Shp Serial (End)
8303	序列登出(终了)
8304	ｼﾘｱﾙ登出(ｿｰｽCD)
8305	Input Shp Serial (UPC)
8306	序列登出(代码CD)
8307	ｼﾘｱﾙ登出(範囲)
8308	Input Shp Serial (Range)
8309	序列登出(范围)
8310	ｼﾘｱﾙ登出(確認)
8311	Input Shp Serial (Confirm)
8312	序列登出(确认)
8313	ｼﾘｱﾙｸﾘｱ確認
8314	Confirm Serial Clear
8315	序列清空确认
8316	ｼﾘｱﾙ登出(ｼﾘｱﾙ)
8317	Input Shp Serial (Serial)
8318	序列登出(序列)
8319	納品先選択
8320	Select Ship-To
8321	收货方选择
8322	ｼﾘｱﾙ登出(No)
8323	Input Shp Serial (No)
8324	序列登出(No)
8325	ｽﾀｰﾄｼﾘｱﾙ
8326	Start Serial
8327	开始序列
8328	ｼﾘｱﾙ
8329	Serial
8330	序列
8331	入力したシリアルを
8332	Clear the
8333	输入的序列
8334	クリアしますか？
8335	entered serial?
8336	要清空吗？
8337	範囲
8338	Range
8339	范围
8340	オーダピッキングを
8341	End Order Picking?
8342	订单分拣
8343	オーダピック(No)
8344	Order Pick (No)
8345	订单分拣(No)
8346	オーダピック(入庫No)
8347	Order Pick (Receiving No.)
8348	订单分拣(入库No)
8349	オーダピック(確認)
8350	Order Pick (Confirm)
8351	订单分拣(确认)
8352	オーダピック(数量)
8353	Order Pick (Qty)
8354	订单分拣(数量)
8355	オーダピック(一覧)
8356	Order Pick (List)
8357	订单分拣(一览)
8358	オーダピック(終了)
8359	Order Pick (End)
8360	订单分拣(终了)
8361	オーダピック(ｿｰｽCD)
8362	Order Pick (UPC)
8363	订单分拣(代码CD)
8364	移動入庫(ｿｰｽCD)
8365	Inventory Transfer (UPC)
8366	移动入库(代码CD)
8367	移動入庫(入庫No)
8368	Inventory Transfer (Receiving No.)
8369	移动入库(入库No)
8370	移動入庫(ロケ)
8371	Inventory Transfer (Location)
8372	移动入库(库位)
8373	移動入庫(選択)
8374	Inventory Transfer (Select)
8375	移动入库(选择)
8376	移動入庫確認
8377	Confirm Inventory Transfer
8378	移动入库确认
8379	プリンタ選択を
8380	Cancel printer selection?
8381	打印选择
8382	キャンセルしますか？
8383	 
8384	要取消吗？
8385	トレイ
8386	Tray
8387	支架
8388	Pｸﾞﾙｰﾌﾟ
8389	Prnt Grp
8390	P组
8391	ﾌﾟﾘﾝﾀ
8392	Printer
8393	打印
8394	帳票L
8395	Report L.
8396	帐票L
8397	同じ帳票レイアウトが
8398	This report layout is already
8399	相同帐票布局
8400	登録されています。
8401	registered. Update?
8402	已登陆。
8403	更新しますか？
8404	 
8405	要更新吗？
8406	プリンタ選択(終了)
8407	Select Printer (End)
8408	打印选择(终了)
8409	選択プリンタ一覧
8410	Printer Select List
8411	选择打印一览
8412	プリンタグループ選択
8413	Select Printer Group
8414	打印机组选择
8415	帳票レイアウト選択
8416	Select Report Layout
8417	帐票布局选择
8418	プリンタ選択(確認)
8419	Select Printer (Confirm)
8420	打印选择(确认)
8421	トレイ選択
8422	Select Tray
8423	支架选择
8424	更新確認
8425	Confirm Update
8426	更新确认
8427	移動出庫(入庫No)
8428	Transfer Out (Receiving No.)
8429	移动出库(入库No)
8430	移動出庫(ロケ)
8431	Transfer Out (Location)
8432	移动出库(库位)
8433	移動出庫(ｿｰｽCD)
8434	Transfer Out (UPC)
8435	移动出库(代码CD)
8436	移動出庫(選択)
8437	Transfer Out (Select)
8438	移动出库(选择)
8439	移動出庫(数量)
8440	Transfer Out (Qty)
8441	移动出库(数量)
8442	移動出庫確認
8443	Confirm Transfer Out
8444	移动出库确认
8445	商品棚卸(終了)
8446	Product Inventory Count (End)
8447	商品盘点(终了)
8448	商品棚卸を
8449	End Product Inventory Count?
8450	商品盘点
8451	預託選択
8452	Select Consignment
8453	寄售选择
8454	商品棚卸(ｿｰｽCD)
8455	Product Inventory Count (UPC)
8456	商品盘点(代码CD)
8457	商品棚卸(在区)
8458	Product Inventory Count (Inv Cls)
8459	商品盘点(在区)
8460	商品棚卸(詳細)
8461	Product Inventory Count (Details)
8462	商品盘点(详细)
8463	商品棚卸(一覧)
8464	Product Inventory Count (List)
8465	商品盘点(一览)
8466	商品棚卸(ロケ)
8467	Product Inventory Count (Location)
8468	商品盘点(库位)
8469	商品棚卸(数量)
8470	Product Inventory Count (Qty)
8471	商品盘点(数量)
8472	商品棚卸完了
8473	Product Inventory Count Complete.
8474	商品盘点完了
8475	か？
8476	 
8477	吗？
8478	商品棚卸(確認)
8479	Product Inventory Count (Confirm)
8480	商品盘点(确认)
8481	入庫格納(終了)
8482	Put-away (End)
8483	入库上架(终了)
8484	入庫格納を
8485	End Put-away?
8486	入库上架
8487	入庫格納(ｿｰｽCD)
8488	Put-away (UPC)
8489	入库上架(代码CD)
8490	入庫格納(仮ロケ)
8491	Put-away (Temporary Location)
8492	入库上架(临时库位)
8493	入庫格納(入庫No)
8494	Put-away (Receiving No.)
8495	入库上架(入库No)
8496	入庫格納(詳細)
8497	Put-away (Details)
8498	入库上架(详细)
8499	入庫格納(一覧)
8500	Put-away (List)
8501	入库上架(一览)
8502	入荷数
8503	Received Qty
8504	收货数
8505	格納数
8506	Put-away Qty
8507	上架数
8508	入庫格納(ロケ)
8509	Put-away (Location)
8510	入库上架(库位)
8511	入庫格納(数量)
8512	Put-away (Qty)
8513	入库上架(数量)
8514	入庫格納(選択)
8515	Put-away (Select)
8516	入库上架(选择)
8517	入庫格納確認
8518	Confirm Put-away
8519	入库上架确认
8520	入庫格納完了
8521	Put-away Complete.
8522	入库上架完了
8523	データを登録
8524	Register data?
8525	数据登陆
8526	シリアル登入を
8527	End Input Serial (Receiving)?
8528	序列登入
8529	予定無し入荷(終了)
8530	Quick Receiving (End)
8531	无预定收货(终了)
8532	予定無し入荷を
8533	End Quick Receiving?
8534	无预定收货
8535	予定無し入荷(ｿｰｽCD)
8536	Quick Receiving (UPC)
8537	无预定收货(代码CD)
8538	予定無し入荷完了
8539	Quick Receiving Complete.
8540	无预定收货完了
8541	期限日が過ぎています
8542	The expiration date has passed.
8543	过了期限日了
8544	登録しますか？
8545	Register?
8546	要登陆吗？
8547	検品を完了しますか？
8548	Complete inspection?
8549	完成检品了吗？
8550	予定無し入荷(区分)
8551	Quick Receiving (Inv Cls)
8552	无预定收货(区分)
8553	ラベル選択
8554	Select Label
8555	标签选择
8556	予定無し入荷(汎用)
8557	Quick Receiving (Generic)
8558	无预定收货(通用)
8559	予定無し入荷(詳細)
8560	Quick Receiving (Details)
8561	无预定收货(详细)
8562	予定無し入荷(一覧)
8563	Quick Receiving (List)
8564	无预定收货(一览)
8565	予定無し入荷(ロケ)
8566	Quick Receiving (Location)
8567	无预定收货(库位)
8568	処理区分選択
8569	Select Process Class
8570	处理区分选择
8571	完了確認(商品)
8572	Confirm Completion (Item)
8573	完了确认(商品)
8574	予定無し入荷(数量)
8575	Quick Receiving (Qty)
8576	无预定收货(数量)
8577	予定無し入荷確認
8578	Confirm Quick Receiving
8579	无预定收货确认
8580	期限日確認
8581	Confirm Expiration Date
8582	期限日确认
8583	予定無し入荷(仕入先)
8584	Quick Receiving (Supplier)
8585	无预定收货(供应商)
8586	仕入先選択
8587	Select Supplier
8588	供应商选择
8589	予定無し入荷(確認)
8590	Quick Receiving (Confirm)
8591	无预定收货(确认)
8592	入荷検品(終了)
8593	Receiving Inspection (End)
8594	收货检品(终了)
8595	入荷検品(詳細)
8596	Receiving Inspection (Details)
8597	收货检品(详细)
8598	入荷検品(ｿｰｽCD)
8599	Receiving Inspection (UPC)
8600	收货检品(代码CD)
8601	入荷検品(一覧)
8602	Receiving Inspection (List)
8603	收货检品(一览)
8604	入荷検品確認
8605	Confirm Receiving Inspection
8606	收货检品确认
8607	検品数確認
8608	Confirm Inspected Qty
8609	检品数确认
8610	完了確認(伝票No)
8611	Confirm Completion (Doc No)
8612	完了确认(单据No)
8613	入荷検品(伝票No)
8614	Receiving Inspection (Doc No)
8615	收货检品(单据No)
8616	入荷検品を
8617	End Receiving Inspection?
8618	收货检品
8619	済数
8620	Inspected
8621	完成数
8622	残数
8623	Remaining
8624	残数
8625	入荷検品完了
8626	Receiving Inspection Complete.
8627	收货检品完了
8628	差異がありますが
8629	There is a discrepancy.
8630	有差异
8631	予定数を超えています
8632	Exceeds Plan Qty.\nSubmit?
8633	超过预定数
8634	が登録しますか？
8635	 
8636	要登陆吗？
8637	ｼﾘｱﾙ登入(伝票No)
8638	Input Rcv Serial (Doc No)
8639	序列登入(单据No)
8640	ｼﾘｱﾙ登入(終了)
8641	Input Rcv Serial (End)
8642	序列登入(终了)
8643	ｼﾘｱﾙ登入(ｿｰｽCD)
8644	Input Rcv Serial (UPC)
8645	序列登入(代码CD)
8646	ｼﾘｱﾙ登入(範囲)
8647	Input Rcv Serial (Range)
8648	序列登入(范围)
8649	ｼﾘｱﾙ登入(確認)
8650	Input Rcv Serial (Confirm)
8651	序列登入(确认)
8652	ｼﾘｱﾙ登入(ｼﾘｱﾙ)
8653	Input Rcv Serial (Serial)
8654	序列登入(序列)
8655	登録数
8656	Registered Qty
8657	登陆数
8658	入荷検品格納を
8659	Complete Put-away Inspection?
8660	收货检品上架
8661	入荷検品格納を
8662	End Put-away Inspection?
8663	收货检品上架
8664	入庫ラベル使用
8665	Use Receiving Label
8666	入库标签使用
8667	汎用ラベル使用
8668	Use Generic Label
8669	通用标签使用
8670	入荷検品格納完了
8671	Put-away Inspection Complete.
8672	收货检品上架完了
8673	完了しますか？
8674	 
8675	要完成吗？
8676	検品格納(終了)
8677	Put-away Inspection (End)
8678	检品上架(终了)
8679	検品格納(詳細)
8680	Put-away Inspection (Details)
8681	检品上架(详细)
8682	検品格納(ｿｰｽCD)
8683	Put-away Inspection (UPC)
8684	检品上架(代码CD)
8685	検品格納(汎用)
8686	Put-away Inspection (Generic)
8687	检品上架(通用)
8688	検品格納(一覧)
8689	Put-away Inspection (List)
8690	检品上架(一览)
8691	検品格納(ロケ)
8692	Put-away Inspection (Location)
8693	检品上架(库位)
8694	検品格納(数量)
8695	Put-away Inspection (Qty)
8696	检品上架(数量)
8697	検品格納確認
8698	Confirm Put-away Inspection
8699	检品上架确认
8700	検品格納(伝票No)
8701	Put-away Inspection (Doc No)
8702	检品上架(单据No)
8703	入荷検品(汎用)
8704	Receiving Inspection (Generic)
8705	收货检品(通用)
8706	データを登録します
8707	Register data?
8708	数据登陆
8709	計算数値
8710	Calculated Number
8711	计算数值
8712	棚卸数量荷姿
8713	Inventory Count Qty UOM
8714	盘点数量包装
8715	センタ(権限)
8716	Center (Permission)
8717	中心(权限)
8718	荷主(権限)
8719	Shipper (Permission)
8720	货主(权限)
8733	出荷内訳
8734	Shipping Breakdown
8735	发货明细
8736	引当内訳
8737	Allocation Breakdown
8738	分配明细
8772	小数有無フラグ
8773	Decimal Flag
8774	小数有无标识
8807	预定数包装
8808	予定数荷姿
8809	Plan UOM
8810	预定数包装
8811	指示数荷姿
8812	Instruction UOM
8813	指示数包装
8814	指示出庫内訳
8815	Instruct Picking Breakdown
8816	指示出库明细
8817	指示入庫内訳
8818	Instruction Put-away Breakdown
8819	指示入库明细
8820	棚卸内訳
8821	Inventory Count Breakdown
8822	盘点明细
8823	総数
8824	Total Qty
8825	总数
8826	検品数荷姿
8827	Inspection UOM
8828	検品数荷姿
8829	指示内訳
8830	Instruction Breakdown
8831	指示明细
8835	在庫内訳
8836	Inventory Breakdown
8837	库存明细
8838	引当可能内訳
8839	Available Breakdown
8840	分配可能明细
8841	引当済内訳
8842	Allocated Breakdown
8843	已分配明细
8844	作業中内訳
8845	In-Progress Breakdown
8846	作业中明细
8847	積送中内訳
8848	In-Transit Breakdown
8849	装运中明细
8850	現時点内訳
8851	Current Qty Breakdown
8852	现时点明细
8868	在庫数荷姿
8869	Inventory UOM
8870	库存数包装
8871	総在庫数荷姿
8872	Total Inventory UOM
8873	总库存数包装
8874	移動先総在庫数荷姿
8875	Total Qty (To) UOM
8876	移动先总在库数荷姿
8877	移動総数荷姿
8878	Total Transfer UOM
8879	移动总数荷姿
8880	前残内訳
8881	Previous Breakdown
8882	前残明细
8883	受入内訳
8884	Received Breakdown
8885	受入明细
8886	払出内訳
8887	Shipped Breakdown
8888	付出明细
8889	当日在庫内訳
8890	Current Inventory Breakdown
8891	当日库存明细
8892	在庫管理単位CD
8893	Inventory Management Unit Code
8894	库存管理单位CD
8895	在庫管理単位名称
8896	Inventory Management Unit Name
8897	库存管理单位名称
8898	差異数(以上)
8899	Discrepancy Qty (Minimum)
8900	差异数(以上)
8901	棚卸数荷姿
8902	Inventory Count UOM
8903	盘点数包装
8904	入数単位
8905	Unit Qty UOM
8906	入数单位
8910	梱包No.
8911	Packing No.
8912	捆包No.
8913	(From)
8914	(From)
8915	(From)
8916	(To)
8917	(To)
8918	(To)
8943	Bill of lading No
8944	Bill of Lading No.
8945	Bill of lading No
8946	Bill of Lading発行フラグ
8947	Bill of Lading Print Flag
8948	Bill of Lading发行标志
8949	Bill of Lading発行フラグ名称
8950	Bill of Lading Print Flag Name
8951	Bill of Lading发行标志名称
8952	Bill of Lading発行対象フラグ
8953	Bill of Lading Print Target Flag
8954	Bill of Lading发行对象标志
8955	Bill of Lading発行対象フラグ名称
8956	Bill of Lading Print Target Flag Name
8957	Bill of Lading发行对象标志名称
8958	Bill of Lading発行対象
8959	Bill of Lading Print Target
8960	Bill of Lading发行对象
8961	Payment Term
8962	Payment Term
8963	Payment Term
8964	Payment Term名称
8965	Payment Term Name
8966	Payment Term名称
8967	PrePaid
8968	PrePaid
8969	PrePaid
8970	PrePaid & Bill
8971	PrePaid & Bill
8972	PrePaid & Bill
8973	Collect
8974	Collect
8975	Collect
8976	COD Bill FRT
8977	COD Bill FRT
8978	COD Bill FRT
8979	COD NOT Bill FRT
8980	COD NOT Bill FRT
8981	COD NOT Bill FRT
8985	貨物追跡番号登録
8986	Register Cargo Tracking No.
8987	货物跟踪编号登陆
8988	貨物追跡No
8989	Cargo Tracking No
8990	货物跟踪No
9669	単行出荷検品
9670	Single Inspection
9671	单行发货检品
9699	単行出荷検品(No)
9700	         Single Inspection (No)
9701	单行发货检品(No)
9702	単行出荷検品(商品)
9703	      Single Inspection (Product)
9704	单行发货检品(商品)
9705	作業指示数選択
9706	    Operation Instruct Qty Select
9707	作业指示数选择
9708	単行出荷検品(箱登録)
9709	   Single Inspection (Box Register)
9710	单行发货检品(箱登陆)
9711	単行出荷検品(ｿｰｽCD)
9712	   Single Inspection (Source Code)
9713	单行发货检品(代码CD)
9714	作業指示数
9715	         Operation Instruct Qty
9716	作业指示数
9717	伝票残数
9718	Remaining Number of slips
9719	单据残数
10091	日付…
10092	Date…
10093	時刻…
10094	Time…
10095	勤怠入力(結果)
10096	Attendance Imput (Result)
10097	しました。
10098	 
