ITEM_ID	SCREEN_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED
1365	226	visible	612		1	1		0	1
1366	226	printerGroupId	70		1	1		1	1
1367	226	printerListGrid	54	grid	1	1		0	1
1368	226	search	745		1	1		0	1
1369	226	register	723		1	1		0	1
1370	226	remove	819		1	1		0	1
1371	227	printRequestNo	85		1	0		0	1
1372	227	printerNm	4		1	0		0	1
1373	227	trayNm	7		1	0		0	1
1374	227	printNum	5		1	0		0	1
1375	227	sheetCollate	614		1	0		0	1
1376	227	printResult	86		1	0		0	1
1377	227	printDt	80		1	0		0	1
1378	227	queueAddDt	103		1	0		0	1
1379	227	processInfo	467		1	0		0	1
1380	227	close	747		1	1		0	1
1381	228	printRequestHistListGrid	60	grid	1	1		0	1
1382	228	printRequestHistBrowse	108		1	1		0	1
1383	229	reportCd	1272		1	1		0	0
1384	229	reportLayoutId	8		1	1		0	0
1385	229	printerGroupId	70		1	1		0	0
1386	229	printStatus	274		1	1		0	0
1387	229	printedFlg	79		1	1		0	0
1388	229	queueAddDtFromYmd	104		1	1		0	1
1389	229	queueAddDtFromTime	105		1	1		0	1
1390	229	queueAddDtToYmd	106		1	1		0	1
1391	229	queueAddDtToTime	107		1	1		0	1
1392	229	errorFlg	1979		1	1		0	0
1393	229	userCd	110		1	1		0	0
1394	229	printDataType	112		1	1		0	0
1395	229	search	745		1	1		0	1
1396	229	printRequestListGrid	58	grid	1	1		0	1
1397	229	reprint	87		1	1		0	1
1398	229	printRequestHistList	59		1	1		0	1
1399	229	printRequestHistBrowse	108		1	1		0	1
1400	230	printerId	4		1	1		1	1
1401	230	printNum	5		1	1		1	1
1402	230	collateFlg	6		1	1		1	1
1403	230	trayId	7		1	1		1	1
1404	230	reportLayoutPrintId	8		1	1		1	1
1405	230	print	9		1	1		0	1
1406	230	reportLayoutPreviewId	8		1	1		1	1
1407	230	preview	2		1	1		0	1
1408	230	printTitle	9		1	0		0	1
1409	230	previewTitle	2		1	0		0	1
1410	230	cancel	747		1	1		0	1
1411	230	printerGroupId	70		1	1		1	1
1412	231	printServiceNm	68		1	1		1	1
1413	231	terminalNm	69		1	0		0	1
1414	231	macAddress	3363		1	0		0	1
1415	231	printerGroupId	70		1	1		0	1
1416	231	printServiceStatus	71		1	1		1	1
1417	231	register	723		1	1		0	1
1418	232	printServiceNm	68		1	1		0	1
1419	232	terminalNm	69		1	1		0	1
1420	232	macAddress	3363		1	1		0	1
1421	232	printerGroupId	70		1	1		0	1
1422	232	printServiceStatus	71		1	1		0	1
1423	232	printServiceListGrid	51	grid	1	1		0	1
1424	232	search	745		1	1		0	1
1425	232	update	705		1	1		0	1
1426	232	remove	819		1	1		0	1
1427	233	propertyNm	1077		1	1		0	1
1428	233	propertyComment	3342		1	1		0	1
1429	233	search	745		1	1		0	1
1430	233	excelOutput	732		1	1		0	1
1431	233	propertyList	151	grid	1	1		0	1
1432	233	addRow	721		1	1		0	1
1433	233	removeRow	722		1	1		0	1
1434	233	register	723		1	1		0	1
1435	234	reportCd	523		1	1		0	1
1436	234	reportNm	530		1	1		0	1
1437	234	reportLayoutNm	529		1	1		0	1
1438	234	reportLayout	8		1	1		0	1
1439	234	addRow	721		1	1		0	1
1440	234	removeRow	722		1	1		0	1
1441	234	register	723		1	1		0	1
1442	234	reportLayoutEdit	2232	grid	1	1		0	1
1443	234	updatable	72		1	1		1	1
1444	234	attribute1	73		1	1		0	1
1445	234	attribute2	74		1	1		0	1
1446	234	attribute3	75		1	1		0	1
1447	234	attribute4	76		1	1		0	1
1448	234	attribute5	77		1	1		0	1
1449	234	printerGroupId	70		1	1		0	1
1450	234	printerId	4		1	1		0	1
1451	234	printerAttributeId	78		1	1		0	1
1452	234	printNum	5		1	1		0	1
1453	234	sheetCollate	614		1	1		0	1
1454	234	autoPrintTargetFlg	102		1	1		1	1
1455	235	reportCd	523		1	1		0	1
1456	235	reportNm	530		1	1		0	1
1457	235	reportLayoutNm	529		1	1		0	1
1458	235	reportLayout	8		1	1		0	1
1459	235	updatable	72		1	1		1	1
1460	235	attribute1	73		1	1		0	1
1461	235	attribute2	74		1	1		0	1
1462	235	attribute3	75		1	1		0	1
1463	235	attribute4	76		1	1		0	1
1464	235	attribute5	77		1	1		0	1
1465	235	printerGroupId	70		1	1		0	1
1466	235	printerId	4		1	1		0	1
1467	235	printerAttributeId	78		1	1		0	1
1468	235	printNum	5		1	1		0	1
1469	235	sheetCollate	614		1	1		0	1
1470	235	autoPrintTargetFlg	102		1	1		1	1
1471	235	delFlg	391		1	1		1	1
1472	235	reportLayoutEdit	2232	grid	1	1		0	1
