COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1595	2929	errorMessageNm	989	12	text	1	0	left	0	400	12	
1596	2963	tshippingInstH.supplyCustomerCd	597	1	text	1	0		0	200		
1597	2963	tshippingInstH.supplyCustomerNm	600	2	text	1	0		0	300		
1598	2963	tshippingInstH.delivCustomerCd	554	3	text	1	0		0	200		
1599	2963	tshippingInstH.delivCustomerNm	562	4	text	1	0		0	300		
1600	2963	tshippingInstH.shippingStatus	438	5	text	1	0		0	125		
1601	2963	tshippingInstH.bclassDtlByShippingStatus.vdict.dictNm	913	6	text	1	0		0	155		
1602	2963	tshippingInstH.shippingSlipNo	184	7	text	1	0		0	170		
1603	2963	tshippingInstH.clientShippingNo	352	8	text	1	0		0	260		
1604	2963	tshippingInstH.pickingBatchNo	457	9	text	1	0		0	170		
1605	2963	tshippingInstH.tallocInstH.tpickingH.pickingWorkNo	455	10	text	1	0		0	125		
1606	2963	tshippingInstH.pickingWorkMessage	456	11	text	1	0		0	300		
1607	2963	tshippingInstH.deliveryCourseCd	605	12	text	1	0		0	125		
1608	2963	tshippingInstH.mdeliveryCourse.deliveryCourseNm	607	13	text	1	0		0	300		
1609	2963	tshippingInstH.mdeliveryCourse.mcarrier.carrierNm	288	14	text	1	0		0	300		
1610	2963	tshippingInstH.mprocessType.processTypeCd	463	15	text	1	0		0	110		
1611	2963	tshippingInstH.mprocessType.vdict.dictNm	814	16	text	1	0		0	110		
1612	2963	productCd	470	17	text	1	0		0	245		
1613	2963	mproduct.productNm	474	18	text	1	0		0	300		
1614	2963	productUnit	2936	19	text	1	0		0	90		
1615	2963	mproduct.janCd	180	20	text	1	0		0	205		
1616	2963	instNum	400	21	number	1	0	right	0	95		
1617	2963	allocNum	282	22	number	1	0	right	0	95		
1618	2963	stockOutNum	1201	23	number	1	0	right	0	95		
1619	2963	depositCd	417	24	text	1	0		0	160		
1620	2963	mcustomer.customerNm	419	25	text	1	0		0	300		
1621	2963	mstockType.stockTypeCd	2225	26	text	1	0		0	160		
1622	2963	mstockType.vdict.dictNm	2226	27	text	1	0		0	160		
1623	2963	warehouseCd	411	28	text	1	0		0	90		
1624	2963	mwarehouse.warehouseNm	413	29	text	1	0		0	300		
1625	2963	mlocation.locationNm	404	30	text	1	0		0	250		
1626	2963	lot	405	31	text	1	0		0	170		
1627	2963	limitDt	410	32	date	1	0		0	150		
1628	2963	tpickingBList[0].mixedFlg	685	33	text	1	0		0	90		
1629	2963	tpickingBList[0].mixedFlgNm	1603	34	text	1	0		0	160		
1630	2963	tpickingBList[0].tstock.mlocation.locationCd	262	35	text	1	0		0	150		
1631	2963	tpickingBList[0].tstock.mlocation.locationNm	265	36	text	1	0		0	250		
1632	2963	tpickingBList[0].tstock.mlocation.mzone.mwarehouse.warehouseCd	499	37	text	1	0		0	80		
1633	2963	tpickingBList[0].tstock.mlocation.mzone.mwarehouse.warehouseNm	501	38	text	1	0		0	110		
1634	2963	tpickingBList[0].tstock.mlocation.mzone.zoneCd	211	39	text	1	0		0	80		
1635	2963	tpickingBList[0].tstock.mlocation.mzone.zoneNm	213	40	text	1	0		0	110		
1636	2963	tpickingBList[0].tstock.mcustomer.customerCd	634	41	text	1	0		0	160		
1637	2963	tpickingBList[0].tstock.mcustomer.customerNm	637	42	text	1	0		0	300		
1638	2963	tpickingBList[0].tstock.mstockType.stockTypeCd	384	43	text	1	0		0	110		
1639	2963	tpickingBList[0].tstock.mstockType.vdict.dictNm	865	44	text	1	0		0	110		
1640	2963	tpickingBList[0].pickingNum	458	45	number	1	0	right	0	95		
1641	2963	tpickingBList[0].tstock.tlot.lot	266	46	text	1	0		0	170		
1642	2963	tpickingBList[0].tstock.tlot.limitDt	315	47	date	1	0		0	150		
1643	2963	tpickingBList[0].tstock.tstoreNo.storeDt	589	48	date	1	0		0	150		
1644	2963	tpickingBList[0].tstock.tstoreNo.storeLabelNo	579	49	text	1	0		0	140		
1645	2963	tshippingInstH.workDt	390	50	date	1	0		0	150		
1646	2963	tshippingInstH.shippingDt	448	51	date	1	0		0	150		
1647	2963	tshippingInstH.delivPlanDt	604	52	date	1	0		0	150		
1648	2963	tshippingInstH.delivDt	595	53	date	1	0		0	150		
1649	2963	tshippingInstH.delivTz	914	54	text	1	0		0	125		
1650	2963	tshippingInstH.bclassDtlByDelivTz.vdict.dictNm	915	55	text	1	0		0	125		
1651	2963	tshippingInstH.delivZipCd	563	56	text	1	0		0	125		
1652	2963	tshippingInstH.delivAddress1	556	57	text	1	0		0	300		
1653	2963	tshippingInstH.headMessageNm	921	58	text	1	0		0	160		
1654	2963	bodyMessageNm	922	59	text	1	0		0	160		
1655	2963	tshippingInstH.mcustomerBySupplyCustomerId.bclassDtlByShippingStopFlg.vdict.dictNm	923	60	text	1	0		0	170		
1656	2963	mproduct.bclassDtlByShippingStopFlg.vdict.dictNm	924	61	text	1	0		0	160		
