メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
cancelChangeCenterClient	confirm	wms	ja-JP	中断しました。	中断									
cannotChangeBeforeReceivePlanDateError	error	wms	ja-JP	元の入荷予定日以前の日付には変更できません。	入荷予定日以前の日付変更不可									
cannotChangeError	error	wms	ja-JP	指示済以外のデータは修正できません。	指示済以外変更不可									
cannotChangeReceivePlanFromEdiError	error	wms	ja-JP	入荷予定取込で作成されたデータのため修正は出来ません。	入荷予定取込変更不可									
cannotChangeReceivingError	error	wms	ja-JP	入荷中のため処理できません。	入荷中変更不可									
cannotChangeShipOrderFromReceivedError	error	wms	ja-JP	出荷指示取込で作成されたデータのため修正は出来ません。	出荷指示取込変更不可									
cannotExecuteCancelDataIncludedError	error	wms	ja-JP	キャンセルのデータが含まれています。	実行不可	キャンセルのデータが含まれています。								
cannotInputError	error	wms	ja-JP	出荷指示数は1以上で入力して下さい。	1以上入力不可									
cannotInputHistoryDataError	error	wms	ja-JP	履歴データが選択されています。	履歴データ選択									
cannotInputMoreThanQtyError	error	wms	ja-JP	数量をオーバーしています。	数量オーバー									
cannotRegisterError	error	wms	ja-JP	出荷商品明細画面で明細を登録して下さい。	登録不可									
cannotSelectClosedReceiveError	error	wms	ja-JP	打切りのデータが含まれています。	選択不可									
cannotSelectDeliveryNoteDataCleatedError	error	wms	ja-JP	送り状データ出力済のデータが含まれています。	選択不可									
cannotSelectDifferentShipToError	error	wms	ja-JP	異なる出荷先が選択されているため、更新できません。	選択不可									
cannotSelectExceptAddedDataError	error	wms	ja-JP	行追加されたデータではないため、行削除できません。	選択不可									
cannotSelectExceptShipInstructedError	error	wms	ja-JP	出庫指示済以外は発行できません。	選択不可									
cannotSelectStoppedShipToError	error	wms	ja-JP	出荷停止中の納品先です。	選択不可									
cannotSelectTemporaryShipToError	error	wms	ja-JP	仮登録の納品先は指定出来ません。	選択不可									
cannotStockMoveError	error	wms	ja-JP	入庫ロケーション未入力のため、処理できません。	完了不可									
carrierCannotDeleteExistDeliveryCourseMasterError	error	wms	ja-JP	運送便マスタに登録されている運送業者は削除できません。	運送便存在									
carrierCodeDuplicateError	error	wms	ja-JP	運送業者CDが重複しています。	重複									
carrierCodeNotFoundInCarrierMasterError	error	wms	ja-JP	運送業者マスタに存在しません。	未存在									
carrierCodeNotFoundInCourseMasterError	error	wms	ja-JP	運送便マスタに運送業者CDが登録されていません。	未存在									
carrierCodeNotInputError	error	wms	ja-JP	運送業者を入力して下さい。	未入力									
carrierReadTimeNotInputError	error	wms	ja-JP	納品先運送リードタイムを入力して下さい。	未入力									
carrierSlipNotFoundInDeliveryCourseMasterError	error	wms	ja-JP	該当データの運送便には送り状データ種別が登録されていません。	送り状データ種別未登録									
caseInspectCannotSelectPieceInspectingError	error	wms	ja-JP	ピース検品中です。箱登録後、ケース検品を行なって下さい。	選択不可									
caseOrPieceQtyInputError	error	wms	ja-JP	ケース数またはバラ数は1以上で入力して下さい。	1以上の数値									
caseOrPieceQtyNotInputError	error	wms	ja-JP	ケース数またはバラ数を入力して下さい。	未入力									
casePickFlgCannotSetError	error	wms	ja-JP	最小荷姿はケースピッキング対象に設定できません。	設定不可									
casePickFlgNotInputError	error	wms	ja-JP	ケースピッキング対象が設定されていません。	ケース荷姿設定不備									
casePickFlgPluralNotInputError	error	wms	ja-JP	ケースピッキング対象は複数の荷姿を選択できません。	複数指定不可									
casePickingAutoTagPrintFailedWarn	warn	wms	ja-JP	荷札発行に失敗しました。PCで出力し直して下さい。検品は終了しています。	閉じる									
casePickingFlgNotFoundError	error	wms	ja-JP	ケースピッキング対象の荷姿が見つかりません。[/]荷姿グループの設定を確認して下さい。	ケース荷姿設定不備									
casePickingNoExistsFixedDataError	error	wms	ja-JP	対象のケースピッキングNo.は出荷確定済のデータが含まれています。(荷揃番号：[0])	対象のケースピッキングNo.はすべてピッキング済									
centarCodeNotFoundInPartnerMasterError	error	wms	ja-JP	センタCDが取引先マスタに存在しません。	未存在									
centerCannotUseNoPermissionError	error	wms	ja-JP	選択したセンタの使用権限が付与されていません。	センタ使用不可									
centerCdCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	センタCD 英数字と-のみ	英数字と-のみ									
centerCdCheckInputMaxError	error	wms	ja-JP	センタCDは最大[0]文字以下を入力して下さい。	最大[0]文字以下									
centerCdNotInputError	error	wms	ja-JP	センタCDを入力して下さい。	必須									
centerCodeDuplicateError	error	wms	ja-JP	センタCDが重複しています。	重複									
centerColCodeDuplicateError	error	wms	ja-JP	センタ列CDが重複しています。	重複									
centerColNotFoundError	error	wms	ja-JP	センタ列マスタに存在しません。	未存在									
centerItemCodeDuplicateError	error	wms	ja-JP	センタ項目CDが重複しています。	重複									
centerItemNotFoundError	error	wms	ja-JP	センタ項目マスタに存在しません。	未存在									
centerNotFoundError	error	wms	ja-JP	センタマスタに存在しません。	未存在									
centerScreenCodeDuplicateError	error	wms	ja-JP	センタ画面CDが重複しています。	重複									
centerScreenNotFoundError	error	wms	ja-JP	センタ画面マスタに存在しません。	未存在									
centerTitle	info	wms	ja-JP	センタ										
changeCenterClientConfirm	confirm	wms	ja-JP	ログイン情報を変更したため、メインメニューに遷移します。続行しますか？	続行									
clearIssueExcecuteCaseConfirm	confirm	wms	ja-JP	ケースピッキングリストの発行解除処理を行いますか？	確認									
clearIssueExcecuteCaseStatusConfirm	confirm	wms	ja-JP	ピッキング中／済または検品中／済のデータが含まれていますが、ケースピッキングリストの発行解除処理を行いますか？	確認									
clearIssueExcecuteConfirm	confirm	wms	ja-JP	1次ピッキングリストおよび2次ピッキングリストの発行解除処理を行いますか？	確認									
clearIssueExcecuteStatusConfirm	confirm	wms	ja-JP	ピッキング中／済または検品中／済のデータが含まれていますが、1次ピッキングリストおよび2次ピッキングリストの発行解除処理を行いますか？	確認									
clearIssueExceptNotCaseIssueError	error	wms	ja-JP	ケースピッキングリストが未発行の行が選択されています。	未発行									
clearIssueExceptNotIssueError	error	wms	ja-JP	1次ピッキングリストおよび2次ピッキングリストが未発行の行が選択されています。	未発行									
clearShortageExceptNotShippingStartError	error	wms	ja-JP	未出荷以外の出荷指示に対して、欠品解除処理を実行できません。	未出荷以外									
clearShortageExceptStockOutStartError	error	wms	ja-JP	欠品がない出荷指示に対して、欠品解除処理を実行できません。	欠品なし									
clientAndSupplierDuplicateError	error	wms	ja-JP	同一顧客入荷指示番号と仕入先CDのデータが既に存在します。	重複									
clientCdCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	荷主CD 英数字と-のみ	英数字と-のみ									
clientCdCheckInputMaxError	error	wms	ja-JP	荷主CDは最大[0]文字以下を入力して下さい。	最大[0]文字以下									
clientCdNotInputError	error	wms	ja-JP	荷主CDを入力して下さい。	必須									
clientCenterNotFoundError	error	wms	ja-JP	荷主センタマスタに存在しません。	未存在									
clientCenterSelect	info	wms	ja-JP	切替	切替									
clientCodeDuplicateError	error	wms	ja-JP	荷主CDが重複しています。	重複									
clientColCodeDuplicateError	error	wms	ja-JP	荷主列CDが重複しています。	重複									
clientColNotFoundError	error	wms	ja-JP	荷主列マスタに存在しません。	未存在									
clientDefaultShapeGroupNotInputError	error	wms	ja-JP	取込用Excelの在庫管理単位を指定するか、荷主マスタの在庫管理単位を設定して下さい。	未指定									
clientDefaultShapeGrpIdNotInputError	warn	wms	ja-JP	在庫管理単位を選択して下さい。	未入力									
clientItemCodeDuplicateError	error	wms	ja-JP	荷主項目CDが重複しています。	重複									
clientItemNotFoundError	error	wms	ja-JP	荷主項目マスタに存在しません。	未存在									
clientNotFoundError	error	wms	ja-JP	荷主マスタに存在しません。	未存在									
clientReceiveNoDataDuplicateError	error	wms	ja-JP	同一の顧客入荷指示No.の伝票が既に登録済です。	重複									
clientScreenCodeDuplicateError	error	wms	ja-JP	荷主画面CDが重複しています。	重複									
clientScreenNotFoundError	error	wms	ja-JP	荷主画面マスタに存在しません。	未存在									
clientShippingNoCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	顧客出荷指示No 英数字と-のみ	英数字と-のみ									
clientShippingNoCheckInputMaxError	error	wms	ja-JP	顧客出荷指示Noは最大30文字以下を入力して下さい。	最大30文字以下									
clientShippingNoDataDuplicateError	error	wms	ja-JP	同一の顧客出荷指示No.の伝票が既に登録済です。	重複									
clientShippingNoNotInputError	error	wms	ja-JP	顧客出荷指示Noを入力して下さい。	未入力									
clientTitle	info	wms	ja-JP	荷主										
commentCheckInputMaxError	error	wms	ja-JP	備考は最大100文字以下を入力して下さい。	最大100文字以下									
commonCarrierCodeNotFoundInCommonCarrierMasterError	error	wms	ja-JP	共通運送業者マスタに存在しません。	未存在									
companyFlgNameNotInputError	error	wms	ja-JP	大口事業所フラグを入力して下さい。	未入力									
companyFlgNotFoundError	error	wms	ja-JP	大口事業所フラグが存在しません。	未存在									
companyKnBulkInputCheckInputMaxError	error	wms	ja-JP	大口事業所名カナ は最大100文字以下を入力して下さい。	最大100文字以下									
companyKnCheckHalfWidthOnlyError	error	wms	ja-JP	大口事業所名カナ  半角文字のみ	半角文字のみ									
companyKnCheckInputMaxError	error	wms	ja-JP	大口事業所名カナ は最大[0]文字以下を入力して下さい。	最大[0]文字以下									
companyNmBulkInputCheckInputMaxError	error	wms	ja-JP	大口事業所名は最大80文字以下を入力して下さい。	最大80文字以下									
companyNmCheckFullWidthOnlyError	error	wms	ja-JP	大口事業所名 全角文字のみ	全角文字のみ									
companyNmCheckInputMaxError	error	wms	ja-JP	大口事業所名は最大[0]文字以下を入力して下さい。	最大[0]文字以下									
companyPublicCdCheckInputMaxError	error	wms	ja-JP	全国地方公共団体コード（大口事業所の所在地のJISコード）は最大[0]文字以下を入力して下さい。	最大[0]文字以下									
companyPublicCdCheckNumericOnlyError	error	wms	ja-JP	全国地方公共団体コード（大口事業所の所在地のJISコード） 数値のみ	数値のみ									
companyZipCdCheckInputMaxError	error	wms	ja-JP	郵便番号（大口事業所個別番号）は最大[0]文字以下を入力して下さい。	最大[0]文字以下									
companyZipCdCheckNumericOnlyError	error	wms	ja-JP	郵便番号（大口事業所個別番号） 数値のみ	数値のみ									
companyZipCdNotInputError	error	wms	ja-JP	郵便番号（大口事業所個別番号）を入力して下さい。	必須									
confirmUpdateDataNonBody	info	wms	ja-JP	明細行がありません。データを削除しますか？										
copyCannnotInputSameTransitCenterError	error	wms	ja-JP	コピー元とコピー先に同一のセンタが指定されています。	コピー元と同一センタ									
cultureIdNotFoundInCultureMasterError	error	wms	ja-JP	カルチャマスタ存在しません。										
custmoerCdCodeDuplicateError	error	wms	ja-JP	取引先CDが既に登録済です。	既に登録済									
customerAbbrCheckInputMaxError	error	wms	ja-JP	取引先略称は最大15文字以下を入力して下さい。	最大15文字以下									
customerAbbrNotInputError	error	wms	ja-JP	取引先略称を入力して下さい。	未入力									
customerCdDuplicateError	error	wms	ja-JP	既に登録されているセンタ、取引先があります。	重複									
customerCdNotInputError	error	wms	ja-JP	取引先CDを入力して下さい。	未入力									
customerCdRegisterConfirmation	confirm	wms	ja-JP	既に登録されているセンタ、取引先があります。更新しますか？	登録確認									
customerCodeCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	取引先CD 英数字と-のみ	英数字と-のみ									
customerCodeCheckInputMaxError	error	wms	ja-JP	取引先CDは最大10文字以下を入力して下さい。	最大10文字以下									
customerCodeDuplicateError	error	wms	ja-JP	取引先CDが重複しています。	重複									
customerCodeFoundDeletedWithCdError	error	wms	ja-JP	取引先マスタに存在しない取引先が含まれています。（取引先CD：[0]）	未存在									
customerInputProgramNameInputWorkInformation	info	wms	ja-JP	取引先マスタ取込（ワーク取込）	プログラム名称情報									
customerInputProgramNameRegisterInformation	info	wms	ja-JP	取引先マスタ取込（データ移行）	プログラム名称情報									
customerMasterBulkInputProgramNameInformation	info	wms	ja-JP	取引先マスタ一括登録	プログラム名称情報									
customerNmCheckInputMaxError	error	wms	ja-JP	取引先名称は最大50文字以下を入力して下さい。	最大50文字以下									
customerNmNotInputError	error	wms	ja-JP	取引先名称を入力して下さい。	未入力									
customerNotFoundCenterTransitError	error	wms	ja-JP	センタ間移動の取引先が登録されていません。出荷元のセンタ、納品先のセンタの取引先を登録して下さい。	センタ間移動取引先未存在									
customerNotFoundError	error	wms	ja-JP	取引先マスタに存在しません。	未存在									
customerRegisterUsingClientCustomerAnotherConfirmation	confirm	wms	ja-JP	他の取引先に荷主取引先として登録されている取引先ですが、変更してもよろしいですか？										
customerRegisterUsingOwnedCenterAnotherConfirmation	confirm	wms	ja-JP	他の取引先に社内入荷センタとして登録されているセンタですが、変更してもよろしいですか？										
dailyBatchRegisterInformation	info	wms	ja-JP	日次締処理をキューに登録しました。キューNo.([0])	キュー登録完了									
dailyCheckError	error	wms	ja-JP	日次処理実行中です。										
dailyConfirmationNotCompleteShippingInspection	confirm	wms	ja-JP	出荷確定されていない実績がありますがよろしいですか？[/][0]										
dailyProcessCannotExecuteIllegalOrderKeepingDaysError	error	wms	ja-JP	EC受注データの保持期間が作業データの保持期間より長く設定されています。	EC受注保持期間不正									
dailyProcessCannotInputBeforeLastButOneError	error	wms	ja-JP	前回の日次締処理より前の日付のため、システム管理日付を戻せません。	前回の日次締処理以前									
dailyProcessCannotInputContainedStockInOutError	error	wms	ja-JP	在庫受払が存在しているため、システム管理日付を戻せません。	在庫受払が存在									
dailyProcessCannotInputEqualDateError	error	wms	ja-JP	システム管理日付（翌稼働日）に現在のシステム管理日付と同じ日付は入力できません。	同じ日付入力不可									
dailyProcessCannotInputNotBeforeSystemDtError	error	wms	ja-JP	日次締処理が一度も実行されていないため、システム管理日付を戻せません。	初日のため過去日不可									
dailyProcessCannotOperationRunningError	error	wms	ja-JP	日次処理中のため、操作できません。	操作不可									
dailyProcessCannotSelectBatchProgressError	error	wms	ja-JP	日次処理中の荷主は選択できません。	日次処理中									
dailyProcessCannotUpdateStockReportNotFoundError	error	wms	ja-JP	在庫情報が未存在のためシステム管理日付を戻せません。	在庫情報未存在									
dailyProcessCannotUpdateStockReportNotFoundInformation	info	wms	ja-JP	在庫が未存在のため復元できませんでした。(入荷ラベルNo.：[0])										
dailyProcessCautionsOperationRunningInformation	info	wms	ja-JP	日次処理中です！操作には十分注意して下さい。	操作注意情報									
dailyProcessExecuteConfirmation	confirm	wms	ja-JP	選択した荷主の日次締め処理を実行しますか？										
